data\test\image\cxrimage_16932.png,data\test\mask\cxrmask_16932.jpeg
data\test\image\cxrimage_16977.png,data\test\mask\cxrmask_16977.jpeg
data\test\image\cxrimage_16978.png,data\test\mask\cxrmask_16978.jpeg
data\test\image\cxrimage_16979.png,data\test\mask\cxrmask_16979.jpeg
data\test\image\cxrimage_16980.png,data\test\mask\cxrmask_16980.jpeg
data\test\image\cxrimage_16981.png,data\test\mask\cxrmask_16981.jpeg
data\test\image\cxrimage_16982.png,data\test\mask\cxrmask_16982.jpeg
data\test\image\cxrimage_16983.png,data\test\mask\cxrmask_16983.jpeg
data\test\image\cxrimage_16984.png,data\test\mask\cxrmask_16984.jpeg
data\test\image\cxrimage_16985.png,data\test\mask\cxrmask_16985.jpeg
data\test\image\cxrimage_16986.png,data\test\mask\cxrmask_16986.jpeg
data\test\image\cxrimage_16987.png,data\test\mask\cxrmask_16987.jpeg
data\test\image\cxrimage_16988.png,data\test\mask\cxrmask_16988.jpeg
data\test\image\cxrimage_16989.png,data\test\mask\cxrmask_16989.jpeg
data\test\image\cxrimage_16990.png,data\test\mask\cxrmask_16990.jpeg
data\test\image\cxrimage_16991.png,data\test\mask\cxrmask_16991.jpeg
data\test\image\cxrimage_16992.png,data\test\mask\cxrmask_16992.jpeg
data\test\image\cxrimage_16993.png,data\test\mask\cxrmask_16993.jpeg
data\test\image\cxrimage_16994.png,data\test\mask\cxrmask_16994.jpeg
data\test\image\cxrimage_16995.png,data\test\mask\cxrmask_16995.jpeg
data\test\image\cxrimage_16996.png,data\test\mask\cxrmask_16996.jpeg
data\test\image\cxrimage_16997.png,data\test\mask\cxrmask_16997.jpeg
data\test\image\cxrimage_16998.png,data\test\mask\cxrmask_16998.jpeg
data\test\image\cxrimage_16999.png,data\test\mask\cxrmask_16999.jpeg
data\test\image\cxrimage_17000.png,data\test\mask\cxrmask_17000.jpeg
data\test\image\cxrimage_17001.png,data\test\mask\cxrmask_17001.jpeg
data\test\image\cxrimage_17002.png,data\test\mask\cxrmask_17002.jpeg
data\test\image\cxrimage_17003.png,data\test\mask\cxrmask_17003.jpeg
data\test\image\cxrimage_17004.png,data\test\mask\cxrmask_17004.jpeg
data\test\image\cxrimage_17005.png,data\test\mask\cxrmask_17005.jpeg
data\test\image\cxrimage_17006.png,data\test\mask\cxrmask_17006.jpeg
data\test\image\cxrimage_17007.png,data\test\mask\cxrmask_17007.jpeg
data\test\image\cxrimage_17008.png,data\test\mask\cxrmask_17008.jpeg
data\test\image\cxrimage_17009.png,data\test\mask\cxrmask_17009.jpeg
data\test\image\cxrimage_17010.png,data\test\mask\cxrmask_17010.jpeg
data\test\image\cxrimage_17011.png,data\test\mask\cxrmask_17011.jpeg
data\test\image\cxrimage_17012.png,data\test\mask\cxrmask_17012.jpeg
data\test\image\cxrimage_17013.png,data\test\mask\cxrmask_17013.jpeg
data\test\image\cxrimage_17014.png,data\test\mask\cxrmask_17014.jpeg
data\test\image\cxrimage_17015.png,data\test\mask\cxrmask_17015.jpeg
data\test\image\cxrimage_17016.png,data\test\mask\cxrmask_17016.jpeg
data\test\image\cxrimage_17017.png,data\test\mask\cxrmask_17017.jpeg
data\test\image\cxrimage_17018.png,data\test\mask\cxrmask_17018.jpeg
data\test\image\cxrimage_17019.png,data\test\mask\cxrmask_17019.jpeg
data\test\image\cxrimage_17020.png,data\test\mask\cxrmask_17020.jpeg
data\test\image\cxrimage_17021.png,data\test\mask\cxrmask_17021.jpeg
data\test\image\cxrimage_17022.png,data\test\mask\cxrmask_17022.jpeg
data\test\image\cxrimage_17023.png,data\test\mask\cxrmask_17023.jpeg
data\test\image\cxrimage_17024.png,data\test\mask\cxrmask_17024.jpeg
data\test\image\cxrimage_17025.png,data\test\mask\cxrmask_17025.jpeg
data\test\image\cxrimage_17026.png,data\test\mask\cxrmask_17026.jpeg
data\test\image\cxrimage_17027.png,data\test\mask\cxrmask_17027.jpeg
data\test\image\cxrimage_17028.png,data\test\mask\cxrmask_17028.jpeg
data\test\image\cxrimage_17029.png,data\test\mask\cxrmask_17029.jpeg
data\test\image\cxrimage_17030.png,data\test\mask\cxrmask_17030.jpeg
data\test\image\cxrimage_17031.png,data\test\mask\cxrmask_17031.jpeg
data\test\image\cxrimage_17032.png,data\test\mask\cxrmask_17032.jpeg
data\test\image\cxrimage_17033.png,data\test\mask\cxrmask_17033.jpeg
data\test\image\cxrimage_17034.png,data\test\mask\cxrmask_17034.jpeg
data\test\image\cxrimage_17035.png,data\test\mask\cxrmask_17035.jpeg
data\test\image\cxrimage_17036.png,data\test\mask\cxrmask_17036.jpeg
data\test\image\cxrimage_17037.png,data\test\mask\cxrmask_17037.jpeg
data\test\image\cxrimage_17038.png,data\test\mask\cxrmask_17038.jpeg
data\test\image\cxrimage_17039.png,data\test\mask\cxrmask_17039.jpeg
data\test\image\cxrimage_17040.png,data\test\mask\cxrmask_17040.jpeg
data\test\image\cxrimage_17041.png,data\test\mask\cxrmask_17041.jpeg
data\test\image\cxrimage_17042.png,data\test\mask\cxrmask_17042.jpeg
data\test\image\cxrimage_17043.png,data\test\mask\cxrmask_17043.jpeg
data\test\image\cxrimage_17044.png,data\test\mask\cxrmask_17044.jpeg
data\test\image\cxrimage_17045.png,data\test\mask\cxrmask_17045.jpeg
data\test\image\cxrimage_17046.png,data\test\mask\cxrmask_17046.jpeg
data\test\image\cxrimage_17047.png,data\test\mask\cxrmask_17047.jpeg
data\test\image\cxrimage_17048.png,data\test\mask\cxrmask_17048.jpeg
data\test\image\cxrimage_17049.png,data\test\mask\cxrmask_17049.jpeg
data\test\image\cxrimage_17050.png,data\test\mask\cxrmask_17050.jpeg
data\test\image\cxrimage_17051.png,data\test\mask\cxrmask_17051.jpeg
data\test\image\cxrimage_17052.png,data\test\mask\cxrmask_17052.jpeg
data\test\image\cxrimage_17053.png,data\test\mask\cxrmask_17053.jpeg
data\test\image\cxrimage_17054.png,data\test\mask\cxrmask_17054.jpeg
data\test\image\cxrimage_17055.png,data\test\mask\cxrmask_17055.jpeg
data\test\image\cxrimage_17056.png,data\test\mask\cxrmask_17056.jpeg
data\test\image\cxrimage_17057.png,data\test\mask\cxrmask_17057.jpeg
data\test\image\cxrimage_17058.png,data\test\mask\cxrmask_17058.jpeg
data\test\image\cxrimage_17059.png,data\test\mask\cxrmask_17059.jpeg
data\test\image\cxrimage_17060.png,data\test\mask\cxrmask_17060.jpeg
data\test\image\cxrimage_17061.png,data\test\mask\cxrmask_17061.jpeg
data\test\image\cxrimage_17062.png,data\test\mask\cxrmask_17062.jpeg
data\test\image\cxrimage_17063.png,data\test\mask\cxrmask_17063.jpeg
data\test\image\cxrimage_17064.png,data\test\mask\cxrmask_17064.jpeg
data\test\image\cxrimage_17065.png,data\test\mask\cxrmask_17065.jpeg
data\test\image\cxrimage_17066.png,data\test\mask\cxrmask_17066.jpeg
data\test\image\cxrimage_17067.png,data\test\mask\cxrmask_17067.jpeg
data\test\image\cxrimage_17068.png,data\test\mask\cxrmask_17068.jpeg
data\test\image\cxrimage_17069.png,data\test\mask\cxrmask_17069.jpeg
data\test\image\cxrimage_17070.png,data\test\mask\cxrmask_17070.jpeg
data\test\image\cxrimage_17071.png,data\test\mask\cxrmask_17071.jpeg
data\test\image\cxrimage_17072.png,data\test\mask\cxrmask_17072.jpeg
data\test\image\cxrimage_17073.png,data\test\mask\cxrmask_17073.jpeg
data\test\image\cxrimage_17074.png,data\test\mask\cxrmask_17074.jpeg
data\test\image\cxrimage_17075.png,data\test\mask\cxrmask_17075.jpeg
data\test\image\cxrimage_17076.png,data\test\mask\cxrmask_17076.jpeg
data\test\image\cxrimage_17077.png,data\test\mask\cxrmask_17077.jpeg
data\test\image\cxrimage_17078.png,data\test\mask\cxrmask_17078.jpeg
data\test\image\cxrimage_17079.png,data\test\mask\cxrmask_17079.jpeg
data\test\image\cxrimage_17080.png,data\test\mask\cxrmask_17080.jpeg
data\test\image\cxrimage_17081.png,data\test\mask\cxrmask_17081.jpeg
data\test\image\cxrimage_17082.png,data\test\mask\cxrmask_17082.jpeg
data\test\image\cxrimage_17083.png,data\test\mask\cxrmask_17083.jpeg
data\test\image\cxrimage_17084.png,data\test\mask\cxrmask_17084.jpeg
data\test\image\cxrimage_17085.png,data\test\mask\cxrmask_17085.jpeg
data\test\image\cxrimage_17086.png,data\test\mask\cxrmask_17086.jpeg
data\test\image\cxrimage_17087.png,data\test\mask\cxrmask_17087.jpeg
data\test\image\cxrimage_17088.png,data\test\mask\cxrmask_17088.jpeg
data\test\image\cxrimage_17089.png,data\test\mask\cxrmask_17089.jpeg
data\test\image\cxrimage_17090.png,data\test\mask\cxrmask_17090.jpeg
data\test\image\cxrimage_17091.png,data\test\mask\cxrmask_17091.jpeg
data\test\image\cxrimage_17092.png,data\test\mask\cxrmask_17092.jpeg
data\test\image\cxrimage_17093.png,data\test\mask\cxrmask_17093.jpeg
data\test\image\cxrimage_17094.png,data\test\mask\cxrmask_17094.jpeg
data\test\image\cxrimage_17095.png,data\test\mask\cxrmask_17095.jpeg
data\test\image\cxrimage_17096.png,data\test\mask\cxrmask_17096.jpeg
data\test\image\cxrimage_17097.png,data\test\mask\cxrmask_17097.jpeg
data\test\image\cxrimage_17098.png,data\test\mask\cxrmask_17098.jpeg
data\test\image\cxrimage_17099.png,data\test\mask\cxrmask_17099.jpeg
data\test\image\cxrimage_17100.png,data\test\mask\cxrmask_17100.jpeg
data\test\image\cxrimage_17101.png,data\test\mask\cxrmask_17101.jpeg
data\test\image\cxrimage_17102.png,data\test\mask\cxrmask_17102.jpeg
data\test\image\cxrimage_17103.png,data\test\mask\cxrmask_17103.jpeg
data\test\image\cxrimage_17104.png,data\test\mask\cxrmask_17104.jpeg
data\test\image\cxrimage_17105.png,data\test\mask\cxrmask_17105.jpeg
data\test\image\cxrimage_17106.png,data\test\mask\cxrmask_17106.jpeg
data\test\image\cxrimage_17107.png,data\test\mask\cxrmask_17107.jpeg
data\test\image\cxrimage_17108.png,data\test\mask\cxrmask_17108.jpeg
data\test\image\cxrimage_17109.png,data\test\mask\cxrmask_17109.jpeg
data\test\image\cxrimage_17110.png,data\test\mask\cxrmask_17110.jpeg
data\test\image\cxrimage_17111.png,data\test\mask\cxrmask_17111.jpeg
data\test\image\cxrimage_17112.png,data\test\mask\cxrmask_17112.jpeg
data\test\image\cxrimage_17113.png,data\test\mask\cxrmask_17113.jpeg
data\test\image\cxrimage_17114.png,data\test\mask\cxrmask_17114.jpeg
data\test\image\cxrimage_17115.png,data\test\mask\cxrmask_17115.jpeg
data\test\image\cxrimage_17116.png,data\test\mask\cxrmask_17116.jpeg
data\test\image\cxrimage_17117.png,data\test\mask\cxrmask_17117.jpeg
data\test\image\cxrimage_17118.png,data\test\mask\cxrmask_17118.jpeg
data\test\image\cxrimage_17119.png,data\test\mask\cxrmask_17119.jpeg
data\test\image\cxrimage_17120.png,data\test\mask\cxrmask_17120.jpeg
data\test\image\cxrimage_17121.png,data\test\mask\cxrmask_17121.jpeg
data\test\image\cxrimage_17122.png,data\test\mask\cxrmask_17122.jpeg
data\test\image\cxrimage_17123.png,data\test\mask\cxrmask_17123.jpeg
data\test\image\cxrimage_17124.png,data\test\mask\cxrmask_17124.jpeg
data\test\image\cxrimage_17125.png,data\test\mask\cxrmask_17125.jpeg
data\test\image\cxrimage_17126.png,data\test\mask\cxrmask_17126.jpeg
data\test\image\cxrimage_17127.png,data\test\mask\cxrmask_17127.jpeg
data\test\image\cxrimage_17128.png,data\test\mask\cxrmask_17128.jpeg
data\test\image\cxrimage_17129.png,data\test\mask\cxrmask_17129.jpeg
data\test\image\cxrimage_17130.png,data\test\mask\cxrmask_17130.jpeg
data\test\image\cxrimage_17131.png,data\test\mask\cxrmask_17131.jpeg
data\test\image\cxrimage_17132.png,data\test\mask\cxrmask_17132.jpeg
data\test\image\cxrimage_17133.png,data\test\mask\cxrmask_17133.jpeg
data\test\image\cxrimage_17134.png,data\test\mask\cxrmask_17134.jpeg
data\test\image\cxrimage_17135.png,data\test\mask\cxrmask_17135.jpeg
data\test\image\cxrimage_17136.png,data\test\mask\cxrmask_17136.jpeg
data\test\image\cxrimage_17137.png,data\test\mask\cxrmask_17137.jpeg
data\test\image\cxrimage_17138.png,data\test\mask\cxrmask_17138.jpeg
data\test\image\cxrimage_17139.png,data\test\mask\cxrmask_17139.jpeg
data\test\image\cxrimage_17140.png,data\test\mask\cxrmask_17140.jpeg
data\test\image\cxrimage_17141.png,data\test\mask\cxrmask_17141.jpeg
data\test\image\cxrimage_17142.png,data\test\mask\cxrmask_17142.jpeg
data\test\image\cxrimage_17143.png,data\test\mask\cxrmask_17143.jpeg
data\test\image\cxrimage_17144.png,data\test\mask\cxrmask_17144.jpeg
data\test\image\cxrimage_17145.png,data\test\mask\cxrmask_17145.jpeg
data\test\image\cxrimage_17146.png,data\test\mask\cxrmask_17146.jpeg
data\test\image\cxrimage_17147.png,data\test\mask\cxrmask_17147.jpeg
data\test\image\cxrimage_17148.png,data\test\mask\cxrmask_17148.jpeg
data\test\image\cxrimage_17149.png,data\test\mask\cxrmask_17149.jpeg
data\test\image\cxrimage_17150.png,data\test\mask\cxrmask_17150.jpeg
data\test\image\cxrimage_17151.png,data\test\mask\cxrmask_17151.jpeg
data\test\image\cxrimage_17152.png,data\test\mask\cxrmask_17152.jpeg
data\test\image\cxrimage_17153.png,data\test\mask\cxrmask_17153.jpeg
data\test\image\cxrimage_17154.png,data\test\mask\cxrmask_17154.jpeg
data\test\image\cxrimage_17155.png,data\test\mask\cxrmask_17155.jpeg
data\test\image\cxrimage_17156.png,data\test\mask\cxrmask_17156.jpeg
data\test\image\cxrimage_17157.png,data\test\mask\cxrmask_17157.jpeg
data\test\image\cxrimage_17158.png,data\test\mask\cxrmask_17158.jpeg
data\test\image\cxrimage_17159.png,data\test\mask\cxrmask_17159.jpeg
data\test\image\cxrimage_17160.png,data\test\mask\cxrmask_17160.jpeg
data\test\image\cxrimage_17161.png,data\test\mask\cxrmask_17161.jpeg
data\test\image\cxrimage_17162.png,data\test\mask\cxrmask_17162.jpeg
data\test\image\cxrimage_17163.png,data\test\mask\cxrmask_17163.jpeg
data\test\image\cxrimage_17164.png,data\test\mask\cxrmask_17164.jpeg
data\test\image\cxrimage_17165.png,data\test\mask\cxrmask_17165.jpeg
data\test\image\cxrimage_17166.png,data\test\mask\cxrmask_17166.jpeg
data\test\image\cxrimage_17167.png,data\test\mask\cxrmask_17167.jpeg
data\test\image\cxrimage_17168.png,data\test\mask\cxrmask_17168.jpeg
data\test\image\cxrimage_17169.png,data\test\mask\cxrmask_17169.jpeg
data\test\image\cxrimage_17170.png,data\test\mask\cxrmask_17170.jpeg
data\test\image\cxrimage_17171.png,data\test\mask\cxrmask_17171.jpeg
data\test\image\cxrimage_17172.png,data\test\mask\cxrmask_17172.jpeg
data\test\image\cxrimage_17173.png,data\test\mask\cxrmask_17173.jpeg
data\test\image\cxrimage_17174.png,data\test\mask\cxrmask_17174.jpeg
data\test\image\cxrimage_17175.png,data\test\mask\cxrmask_17175.jpeg
data\test\image\cxrimage_17176.png,data\test\mask\cxrmask_17176.jpeg
data\test\image\cxrimage_17177.png,data\test\mask\cxrmask_17177.jpeg
data\test\image\cxrimage_17178.png,data\test\mask\cxrmask_17178.jpeg
data\test\image\cxrimage_17179.png,data\test\mask\cxrmask_17179.jpeg
data\test\image\cxrimage_17180.png,data\test\mask\cxrmask_17180.jpeg
data\test\image\cxrimage_17181.png,data\test\mask\cxrmask_17181.jpeg
data\test\image\cxrimage_17182.png,data\test\mask\cxrmask_17182.jpeg
data\test\image\cxrimage_17183.png,data\test\mask\cxrmask_17183.jpeg
data\test\image\cxrimage_17184.png,data\test\mask\cxrmask_17184.jpeg
data\test\image\cxrimage_17185.png,data\test\mask\cxrmask_17185.jpeg
data\test\image\cxrimage_17186.png,data\test\mask\cxrmask_17186.jpeg
data\test\image\cxrimage_17187.png,data\test\mask\cxrmask_17187.jpeg
data\test\image\cxrimage_17188.png,data\test\mask\cxrmask_17188.jpeg
data\test\image\cxrimage_17189.png,data\test\mask\cxrmask_17189.jpeg
data\test\image\cxrimage_17190.png,data\test\mask\cxrmask_17190.jpeg
data\test\image\cxrimage_17191.png,data\test\mask\cxrmask_17191.jpeg
data\test\image\cxrimage_17192.png,data\test\mask\cxrmask_17192.jpeg
data\test\image\cxrimage_17193.png,data\test\mask\cxrmask_17193.jpeg
data\test\image\cxrimage_17194.png,data\test\mask\cxrmask_17194.jpeg
data\test\image\cxrimage_17195.png,data\test\mask\cxrmask_17195.jpeg
data\test\image\cxrimage_17196.png,data\test\mask\cxrmask_17196.jpeg
data\test\image\cxrimage_17197.png,data\test\mask\cxrmask_17197.jpeg
data\test\image\cxrimage_17198.png,data\test\mask\cxrmask_17198.jpeg
data\test\image\cxrimage_17199.png,data\test\mask\cxrmask_17199.jpeg
data\test\image\cxrimage_17200.png,data\test\mask\cxrmask_17200.jpeg
data\test\image\cxrimage_17201.png,data\test\mask\cxrmask_17201.jpeg
data\test\image\cxrimage_17202.png,data\test\mask\cxrmask_17202.jpeg
data\test\image\cxrimage_17203.png,data\test\mask\cxrmask_17203.jpeg
data\test\image\cxrimage_17204.png,data\test\mask\cxrmask_17204.jpeg
data\test\image\cxrimage_17205.png,data\test\mask\cxrmask_17205.jpeg
data\test\image\cxrimage_17206.png,data\test\mask\cxrmask_17206.jpeg
data\test\image\cxrimage_17207.png,data\test\mask\cxrmask_17207.jpeg
data\test\image\cxrimage_17208.png,data\test\mask\cxrmask_17208.jpeg
data\test\image\cxrimage_17209.png,data\test\mask\cxrmask_17209.jpeg
data\test\image\cxrimage_17210.png,data\test\mask\cxrmask_17210.jpeg
data\test\image\cxrimage_17211.png,data\test\mask\cxrmask_17211.jpeg
data\test\image\cxrimage_17212.png,data\test\mask\cxrmask_17212.jpeg
data\test\image\cxrimage_17213.png,data\test\mask\cxrmask_17213.jpeg
data\test\image\cxrimage_17214.png,data\test\mask\cxrmask_17214.jpeg
data\test\image\cxrimage_17215.png,data\test\mask\cxrmask_17215.jpeg
data\test\image\cxrimage_17216.png,data\test\mask\cxrmask_17216.jpeg
data\test\image\cxrimage_17217.png,data\test\mask\cxrmask_17217.jpeg
data\test\image\cxrimage_17218.png,data\test\mask\cxrmask_17218.jpeg
data\test\image\cxrimage_17219.png,data\test\mask\cxrmask_17219.jpeg
data\test\image\cxrimage_17220.png,data\test\mask\cxrmask_17220.jpeg
data\test\image\cxrimage_17221.png,data\test\mask\cxrmask_17221.jpeg
data\test\image\cxrimage_17222.png,data\test\mask\cxrmask_17222.jpeg
data\test\image\cxrimage_17223.png,data\test\mask\cxrmask_17223.jpeg
data\test\image\cxrimage_17224.png,data\test\mask\cxrmask_17224.jpeg
data\test\image\cxrimage_17225.png,data\test\mask\cxrmask_17225.jpeg
data\test\image\cxrimage_17226.png,data\test\mask\cxrmask_17226.jpeg
data\test\image\cxrimage_17227.png,data\test\mask\cxrmask_17227.jpeg
data\test\image\cxrimage_17228.png,data\test\mask\cxrmask_17228.jpeg
data\test\image\cxrimage_17229.png,data\test\mask\cxrmask_17229.jpeg
data\test\image\cxrimage_17230.png,data\test\mask\cxrmask_17230.jpeg
data\test\image\cxrimage_17231.png,data\test\mask\cxrmask_17231.jpeg
data\test\image\cxrimage_17232.png,data\test\mask\cxrmask_17232.jpeg
data\test\image\cxrimage_17233.png,data\test\mask\cxrmask_17233.jpeg
data\test\image\cxrimage_17234.png,data\test\mask\cxrmask_17234.jpeg
data\test\image\cxrimage_17235.png,data\test\mask\cxrmask_17235.jpeg
data\test\image\cxrimage_17236.png,data\test\mask\cxrmask_17236.jpeg
data\test\image\cxrimage_17237.png,data\test\mask\cxrmask_17237.jpeg
data\test\image\cxrimage_17238.png,data\test\mask\cxrmask_17238.jpeg
data\test\image\cxrimage_17239.png,data\test\mask\cxrmask_17239.jpeg
data\test\image\cxrimage_17240.png,data\test\mask\cxrmask_17240.jpeg
data\test\image\cxrimage_17241.png,data\test\mask\cxrmask_17241.jpeg
data\test\image\cxrimage_17242.png,data\test\mask\cxrmask_17242.jpeg
data\test\image\cxrimage_17243.png,data\test\mask\cxrmask_17243.jpeg
data\test\image\cxrimage_17244.png,data\test\mask\cxrmask_17244.jpeg
data\test\image\cxrimage_17245.png,data\test\mask\cxrmask_17245.jpeg
data\test\image\cxrimage_17246.png,data\test\mask\cxrmask_17246.jpeg
data\test\image\cxrimage_17247.png,data\test\mask\cxrmask_17247.jpeg
data\test\image\cxrimage_17248.png,data\test\mask\cxrmask_17248.jpeg
data\test\image\cxrimage_17249.png,data\test\mask\cxrmask_17249.jpeg
data\test\image\cxrimage_17250.png,data\test\mask\cxrmask_17250.jpeg
data\test\image\cxrimage_17251.png,data\test\mask\cxrmask_17251.jpeg
data\test\image\cxrimage_17252.png,data\test\mask\cxrmask_17252.jpeg
data\test\image\cxrimage_17253.png,data\test\mask\cxrmask_17253.jpeg
data\test\image\cxrimage_17254.png,data\test\mask\cxrmask_17254.jpeg
data\test\image\cxrimage_17255.png,data\test\mask\cxrmask_17255.jpeg
data\test\image\cxrimage_17256.png,data\test\mask\cxrmask_17256.jpeg
data\test\image\cxrimage_17257.png,data\test\mask\cxrmask_17257.jpeg
data\test\image\cxrimage_17258.png,data\test\mask\cxrmask_17258.jpeg
data\test\image\cxrimage_17259.png,data\test\mask\cxrmask_17259.jpeg
data\test\image\cxrimage_17260.png,data\test\mask\cxrmask_17260.jpeg
data\test\image\cxrimage_17261.png,data\test\mask\cxrmask_17261.jpeg
data\test\image\cxrimage_17262.png,data\test\mask\cxrmask_17262.jpeg
data\test\image\cxrimage_17263.png,data\test\mask\cxrmask_17263.jpeg
data\test\image\cxrimage_17264.png,data\test\mask\cxrmask_17264.jpeg
data\test\image\cxrimage_17265.png,data\test\mask\cxrmask_17265.jpeg
data\test\image\cxrimage_17266.png,data\test\mask\cxrmask_17266.jpeg
data\test\image\cxrimage_17267.png,data\test\mask\cxrmask_17267.jpeg
data\test\image\cxrimage_17268.png,data\test\mask\cxrmask_17268.jpeg
data\test\image\cxrimage_17269.png,data\test\mask\cxrmask_17269.jpeg
data\test\image\cxrimage_17270.png,data\test\mask\cxrmask_17270.jpeg
data\test\image\cxrimage_17271.png,data\test\mask\cxrmask_17271.jpeg
data\test\image\cxrimage_17272.png,data\test\mask\cxrmask_17272.jpeg
data\test\image\cxrimage_17273.png,data\test\mask\cxrmask_17273.jpeg
data\test\image\cxrimage_17274.png,data\test\mask\cxrmask_17274.jpeg
data\test\image\cxrimage_17275.png,data\test\mask\cxrmask_17275.jpeg
data\test\image\cxrimage_17276.png,data\test\mask\cxrmask_17276.jpeg
data\test\image\cxrimage_17277.png,data\test\mask\cxrmask_17277.jpeg
data\test\image\cxrimage_17278.png,data\test\mask\cxrmask_17278.jpeg
data\test\image\cxrimage_17279.png,data\test\mask\cxrmask_17279.jpeg
data\test\image\cxrimage_17280.png,data\test\mask\cxrmask_17280.jpeg
data\test\image\cxrimage_17281.png,data\test\mask\cxrmask_17281.jpeg
data\test\image\cxrimage_17282.png,data\test\mask\cxrmask_17282.jpeg
data\test\image\cxrimage_17283.png,data\test\mask\cxrmask_17283.jpeg
data\test\image\cxrimage_17284.png,data\test\mask\cxrmask_17284.jpeg
data\test\image\cxrimage_17285.png,data\test\mask\cxrmask_17285.jpeg
data\test\image\cxrimage_17286.png,data\test\mask\cxrmask_17286.jpeg
data\test\image\cxrimage_17287.png,data\test\mask\cxrmask_17287.jpeg
data\test\image\cxrimage_17288.png,data\test\mask\cxrmask_17288.jpeg
data\test\image\cxrimage_17289.png,data\test\mask\cxrmask_17289.jpeg
data\test\image\cxrimage_17290.png,data\test\mask\cxrmask_17290.jpeg
data\test\image\cxrimage_17291.png,data\test\mask\cxrmask_17291.jpeg
data\test\image\cxrimage_17292.png,data\test\mask\cxrmask_17292.jpeg
data\test\image\cxrimage_17293.png,data\test\mask\cxrmask_17293.jpeg
data\test\image\cxrimage_17294.png,data\test\mask\cxrmask_17294.jpeg
data\test\image\cxrimage_17295.png,data\test\mask\cxrmask_17295.jpeg
data\test\image\cxrimage_17296.png,data\test\mask\cxrmask_17296.jpeg
data\test\image\cxrimage_17297.png,data\test\mask\cxrmask_17297.jpeg
data\test\image\cxrimage_17298.png,data\test\mask\cxrmask_17298.jpeg
